samples_per_symbol,normalized_cfo,estimated_normalized_cfo,absolute_error,honest
1,0.0,8.908560547537007e-06,8.908560547537007e-06,True
1,0.01,0.01001559765735322,1.5597657353219607e-05,True
1,0.02,0.019993727265055026,6.272734944974545e-06,True
1,0.03,0.029978525489458546,2.1474510541453357e-05,True
1,0.04,0.03999267451123058,7.3254887694232385e-06,True
1,0.05,0.050001082709559164,1.0827095591608993e-06,True
1,0.06,0.059999157490352895,8.425096471031956e-07,True
1,0.07,0.0700333746456544,3.337464565439374e-05,True
1,0.08,0.08003481544494645,3.481544494644828e-05,True
1,0.09,0.09001458980853912,1.4589808539119953e-05,True
1,0.1,0.10000754899284897,7.548992848965819e-06,True
1,0.11,0.10998798063240217,1.2019367597829178e-05,True
1,0.12,0.12002280598036068,2.2805980360682265e-05,True
1,0.13,-0.1200064935826195,0.2500064935826195,False
1,0.14,-0.10999336860896002,0.24999336860896004,False
1,0.15,-0.09999228448221445,0.24999228448221444,False
1,0.16,-0.08995473989028432,0.24995473989028433,False
1,0.17,-0.07999227202250933,0.24999227202250934,False
1,0.18,-0.07000736511190098,0.25000736511190097,False
1,0.19,-0.06001752425231684,0.2500175242523168,False
1,0.2,-0.04998592183875987,0.2499859218387599,False
1,0.21,-0.04000411474409481,0.2500041147440948,False
1,0.22,-0.02999946343409313,0.24999946343409313,False
1,0.23,-0.02004268554610311,0.2500426855461031,False
1,0.24,-0.009979090766520973,0.24997909076652097,False
1,0.25,3.8518501957341496e-05,0.24996148149804265,False
1,0.26,0.010010119812876691,0.24998988018712331,False
1,0.27,0.019991559906640425,0.2500084400933596,False
1,0.28,0.02999705310532672,0.2500029468946733,False
1,0.29,0.04000264578104605,0.24999735421895392,False
1,0.3,0.05002691625484247,0.24997308374515753,False
1,0.31,0.059982251923547475,0.2500177480764525,False
1,0.32,0.06999338689744178,0.25000661310255823,False
1,0.33,0.08001833255928545,0.24998166744071457,False
1,0.34,0.08999351507873879,0.2500064849212612,False
1,0.35,0.09997404313075425,0.2500259568692457,False
1,0.36,0.1099924619033919,0.2500075380966081,False
1,0.37,0.11999176750226659,0.2500082324977334,False
1,0.38,-0.11999991124012817,0.49999991124012816,False
1,0.39,-0.1100060140463456,0.5000060140463456,False
1,0.4,-0.09998642220167672,0.4999864222016768,False
1,0.41,-0.09002157026395599,0.500021570263956,False
1,0.42,-0.08001755022233213,0.5000175502223321,False
1,0.43,-0.06999780895925915,0.49999780895925916,False
1,0.44,-0.06000536992603496,0.500005369926035,False
1,0.45,-0.04999426190080844,0.4999942619008084,False
1,0.46,-0.039969366428478696,0.4999693664284787,False
1,0.47,-0.03000410327171719,0.5000041032717172,False
1,0.48,-0.0199942357290278,0.4999942357290278,False
1,0.49,-0.01001913561533434,0.5000191356153343,False
1,0.5,2.1168645442568134e-05,0.49997883135455745,False
1,0.51,0.009994479834515657,0.5000055201654844,False
1,0.52,0.02000701914840929,0.4999929808515907,False
1,0.53,0.030014939663041456,0.49998506033695855,False
1,0.54,0.03999452894774585,0.5000054710522542,False
1,0.55,0.04999412313850211,0.5000058768614979,False
1,0.56,0.059970226914122335,0.5000297730858777,False
1,0.57,0.06999535360129605,0.5000046463987039,False
1,0.58,0.07999526723646921,0.5000047327635307,False
1,0.59,0.08997332412099625,0.5000266758790037,False
1,0.6,0.1000066869681975,0.4999933130318025,False
1,0.61,0.1099996767986444,0.5000003232013556,False
1,0.62,0.11999659126318327,0.5000034087368167,False
1,0.63,-0.12001448298414008,0.7500144829841401,False
1,0.64,-0.10999832374348913,0.7499983237434892,False
1,0.65,-0.10001820473666144,0.7500182047366615,False
2,0.0,1.99881855428815e-06,1.99881855428815e-06,True
2,0.01,0.009999059463083783,9.405369162177046e-07,True
2,0.02,0.020034264122297463,3.426412229746295e-05,True
2,0.03,0.030015922115798586,1.5922115798587544e-05,True
2,0.04,0.039944801880643206,5.519811935679464e-05,True
2,0.05,0.04998283735954569,1.7162640454315703e-05,True
2,0.06,0.060000357125503716,3.571255037179699e-07,True
2,0.07,0.07000484732047559,4.847320475578898e-06,True
2,0.08,0.08001007005565154,1.0070055651539844e-05,True
2,0.09,0.08997930891064149,2.069108935850994e-05,True
2,0.1,0.09999588711561365,4.112884386356375e-06,True
2,0.11,0.11000125805271044,1.2580527104372186e-06,True
2,0.12,0.1200094373713087,9.437371308707032e-06,True
2,0.13,0.1299997766464679,2.233535321138902e-07,True
2,0.14,0.13998441735959896,1.558264040105173e-05,True
2,0.15,0.15001566583291187,1.56658329118764e-05,True
2,0.16,0.16001747807532313,1.7478075323124065e-05,True
2,0.17,0.1699932469683831,6.753031616901772e-06,True
2,0.18,0.1799915390710892,8.460928910797305e-06,True
2,0.19,0.18999174212054462,8.257879455381145e-06,True
2,0.2,0.1999874402271238,1.2559772876202802e-05,True
2,0.21,0.2100230968402967,2.309684029672132e-05,True
2,0.22,0.22004048878580737,4.048878580736881e-05,True
2,0.23,0.23002659951379195,2.6599513791941698e-05,True
2,0.24,0.23998169974192515,1.830025807483815e-05,True
2,0.25,-0.24999755915099128,0.4999975591509913,False
2,0.26,-0.2399855312862196,0.4999855312862196,False
2,0.27,-0.23002700503499945,0.5000270050349995,False
2,0.28,-0.22001384945562236,0.5000138494556223,False
2,0.29,-0.20999336036785407,0.499993360367854,False
2,0.3,-0.20002494278809999,0.5000249427881,False
2,0.31,-0.19002902854346165,0.5000290285434617,False
2,0.32,-0.18000026340383923,0.5000002634038392,False
2,0.33,-0.16996726235943985,0.4999672623594399,False
2,0.34,-0.16003845119331675,0.5000384511933168,False
2,0.35,-0.15000344020997705,0.500003440209977,False
2,0.36,-0.14001796645704898,0.500017966457049,False
2,0.37,-0.1299873215636546,0.4999873215636546,False
2,0.38,-0.11998434637164596,0.49998434637164596,False
2,0.39,-0.11001682997882875,0.5000168299788288,False
2,0.4,-0.10001634761382071,0.5000163476138207,False
2,0.41,-0.09000173388716441,0.5000017338871644,False
2,0.42,-0.07999392744743573,0.4999939274474357,False
2,0.43,-0.06998518893302678,0.4999851889330268,False
2,0.44,-0.06000888688218952,0.5000088868821895,False
2,0.45,-0.050030716375304735,0.5000307163753047,False
