rolloff,normalized_cfo,fourth_power_estimate,fourth_power_absolute_error,band_edge_imbalance
0.05,-0.55,0.4524513412203178,1.002451341220318,-0.005925423027579705
0.05,-0.525,0.4774513412203199,1.00245134122032,-0.005905705108790473
0.05,-0.5,-0.4975486587796808,0.002451341220319203,-0.006626664666065091
0.05,-0.475,-0.47254865877968033,0.002451341220319647,-0.007741641178194641
0.05,-0.45,-0.4475486587796816,0.002451341220318426,-0.008149965718718736
0.05,-0.425,-0.4225486587796804,0.0024513412203195917,-0.007273503973160069
0.05,-0.4,-0.3975486587796825,0.0024513412203175378,-0.0058238018395499564
0.05,-0.375,-0.37254865877967835,0.0024513412203216456,-0.004802908133576016
0.05,-0.35,-0.3475486587796796,0.002451341220320369,-0.004427371612266849
0.05,-0.325,-0.32254865877968053,0.0024513412203194807,-0.004349776809105001
0.05,-0.3,-0.2975486587796803,0.0024513412203197027,-0.004279305799271476
0.05,-0.275,-0.2725486587796812,0.0024513412203188145,-0.004318913261056646
0.05,-0.25,-0.24754865877968052,0.0024513412203194807,-0.004919857730689196
0.05,-0.225,-0.2225486587796809,0.002451341220319092,-0.006210978779482296
0.05,-0.2,-0.19754865877968142,0.0024513412203185925,-0.007465144455697922
0.05,-0.175,-0.17254865877967995,0.0024513412203200358,-0.00785291481903894
0.05,-0.15,-0.14754865877968026,0.0024513412203197305,-0.007514999273516057
0.05,-0.125,-0.12254865877968042,0.002451341220319578,-0.007155336478112676
0.05,-0.1,-0.09754865877968084,0.0024513412203191615,-0.0069467880230630625
0.05,-0.075,-0.07254865877968028,0.0024513412203197166,-0.006451884887601749
0.05,-0.05,-0.04754865877968058,0.002451341220319425,-0.005161222351757917
0.05,-0.025,-0.022548658779680424,0.002451341220319578,-0.0028106283323233987
0.05,0.0,0.002451341220319715,0.002451341220319715,0.00036078385927408184
0.05,0.025,0.027451341220319864,0.0024513412203198623,0.003493362951539048
0.05,0.05,0.052451341220320004,0.002451341220320001,0.005637461415037221
0.05,0.075,0.07745134122031971,0.0024513412203197166,0.0065839386384438465
0.05,0.1,0.10245134122032028,0.0024513412203202717,0.006821153336226782
0.05,0.125,0.12745134122031987,0.0024513412203198692,0.006730398795772791
0.05,0.15,0.1524513412203197,0.0024513412203197027,0.006433860171319186
0.05,0.175,0.17745134122031941,0.002451341220319425,0.0062116681802919975
0.05,0.2,0.20245134122032082,0.002451341220320813,0.006311127293516393
0.05,0.225,0.22745134122032035,0.002451341220320341,0.006512233295230917
0.05,0.25,0.25245134122032,0.0024513412203199803,0.0064388326772097885
0.05,0.275,0.27745134122032067,0.0024513412203206464,0.006146156875246847
0.05,0.3,0.3024513412203197,0.0024513412203197027,0.006015938287989829
0.05,0.325,0.32745134122032,0.0024513412203199803,0.006162165529636156
0.05,0.35,0.35245134122031907,0.002451341220319092,0.00627375726957579
0.05,0.375,0.37745134122031776,0.00245134122031776,0.006162213221220951
0.05,0.4,0.40245134122032195,0.002451341220321923,0.006090085234267288
0.05,0.425,0.42745134122031975,0.002451341220319758,0.006204965476852963
0.05,0.45,0.45245134122032105,0.002451341220321035,0.006190354816210107
0.05,0.475,0.47745134122031974,0.002451341220319758,0.005925390626482983
0.05,0.5,-0.4975486587796798,0.9975486587796798,0.005905762194187442
0.05,0.525,-0.47254865877968044,0.9975486587796805,0.006626668247092559
0.05,0.55,-0.4475486587796785,0.9975486587796785,0.007741901476408119
0.2,-0.55,0.45033014454877696,1.000330144548777,-0.04604955566644501
0.2,-0.525,0.4753301445487783,1.0003301445487782,-0.04942724700098323
0.2,-0.5,-0.49966985545122217,0.00033014454877783317,-0.05345475563105299
0.2,-0.475,-0.4746698554512223,0.00033014454877766664,-0.05681802204689134
0.2,-0.45,-0.44966985545122357,0.0003301445487764454,-0.05963104944796516
0.2,-0.425,-0.42466985545122243,0.0003301445487775556,-0.06233800075763666
