design,samples_per_symbol,symbol_count,desired_seed,adjacent_seed,trim,tap_count,rolloff,desired_normalized_cfo,channel_spacing,block_symbols,loop_gain,tail_block_count,settle_threshold,adjacent_enabled,adjacent_relative_power_db,orientation_sign,isolated_central_slope_wrt_deltaf_over_Rs,final_residual_cfo,tail_mean_abs_residual_cfo,tail_peak_abs_residual_cfo,tail_within_threshold_fraction,tail_mean_abs_detector_output
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.94,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.04126089950617998,0.037171010048500305,0.04126089950617998,1.0,0.053381027224746164
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.94,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11162857357521211,0.10016331957597546,0.11162857357521211,0.0,0.1550612542868378
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.95,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.04134839698602509,0.036877798271636786,0.04134839698602509,1.0,0.057923229297433404
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.95,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11162635265638025,0.09988819454915149,0.11162635265638025,0.0,0.15647066447307906
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.96,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.04077388840682823,0.036798184507571,0.04077388840682823,1.0,0.05535315396586649
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.96,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11100246926960401,0.0997698700066259,0.11100246926960401,0.0,0.1523964786368866
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.97,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.040074886300864095,0.03571585007092579,0.040074886300864095,1.0,0.05974905139831898
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.97,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.10990383040075308,0.09833279911487097,0.10990383040075308,0.0,0.15613133462005005
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.98,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.040613233124888126,0.0362297087454396,0.040613233124888126,1.0,0.05921726671139202
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.98,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11024299093827061,0.09869622820635583,0.11024299093827061,0.0,0.1555966539918921
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,0.99,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.04024239690703313,0.03628031606628747,0.04024239690703313,1.0,0.05137294265255061
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,0.99,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.10903700829258248,0.09775000943842428,0.10903700829258248,0.0,0.14992925584973266
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.0,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.04272669993829563,0.03872081460377301,0.04272669993829563,1.0,0.05252406865776341
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.0,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.11074515285394293,0.09948801741473288,0.11074515285394293,0.0,0.14928766884096703
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.01,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.03877490907035359,0.03539939617026677,0.03877490907035359,1.0,0.04762841154657016
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.01,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.1069069681242366,0.09596614856040514,0.1069069681242366,0.0,0.1471469379745551
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.02,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.038561549462972494,0.03504147393239867,0.038561549462972494,1.0,0.05148711296114317
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.02,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.10631512416356051,0.09524403207715748,0.10631512416356051,0.0,0.14988587432690534
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.03,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.03765775231097095,0.034262631819212616,0.03765775231097095,1.0,0.04929133462469397
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.03,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.10542867709126175,0.09450939377290422,0.10542867709126175,0.0,0.14759001881725767
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.04,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.033819906743234304,0.03115852206533929,0.033819906743234304,1.0,0.04091489363682032
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.04,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.10225294079689762,0.09166233348367477,0.10225294079689762,0.0,0.14361180310829436
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.05,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.03596943580117774,0.03278895643000071,0.03596943580117774,1.0,0.044299915836624786
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.05,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.10305260815988013,0.09219906690542194,0.10305260815988013,0.0,0.14440451971269086
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.06,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.03238315653823223,0.029871351306787405,0.03238315653823223,1.0,0.038362865702265304
